iter	Logloss
0	0.6751181502
1	0.6555166159
2	0.6398472738
3	0.621422225
4	0.6041915523
5	0.5886984045
6	0.5721714141
7	0.5563961547
8	0.5424088263
9	0.5276936789
10	0.5145725544
11	0.5027183254
12	0.4908520476
13	0.4797297767
14	0.4691323892
15	0.4589549168
16	0.4483654813
17	0.43827294
18	0.4289061159
19	0.4197153221
20	0.4113944419
21	0.4030205829
22	0.3957398405
23	0.3879017211
24	0.3820939925
25	0.3744842238
26	0.3670916908
27	0.3605428849
28	0.3549243107
29	0.3487402801
30	0.3438567571
31	0.3387859949
32	0.3332544962
33	0.3284041594
34	0.3235107931
35	0.3180817233
36	0.3135003106
37	0.3086104588
38	0.3040650805
39	0.2991210383
40	0.2949505506
41	0.2913013075
42	0.2873414514
43	0.2831287302
44	0.27889355
45	0.2750760225
46	0.2716782219
47	0.2686461171
48	0.2654221588
49	0.2625414559
50	0.2592997385
51	0.2567084853
52	0.2543341195
53	0.2516231548
54	0.2486992189
55	0.2468776751
56	0.2444338732
57	0.2420478585
58	0.2396868789
59	0.2373928276
60	0.2352125184
61	0.233095415
62	0.2310342425
63	0.2290861039
64	0.2267896053
65	0.2247258885
66	0.2226190753
67	0.2207976794
68	0.2190593516
69	0.2174085973
70	0.2158760213
71	0.2141657858
72	0.2126825285
73	0.2109924497
74	0.2094057373
75	0.2079345751
76	0.2064922359
77	0.2048446737
78	0.2034637978
79	0.2020978314
80	0.2007743525
81	0.1995328141
82	0.1982110688
83	0.1967146694
84	0.1950949433
85	0.1938289811
86	0.192593733
87	0.1911326769
88	0.1898351576
89	0.1884522383
90	0.1874074419
91	0.1862019023
92	0.1850813981
93	0.1840497916
94	0.1828873598
95	0.1818863866
96	0.1809090627
97	0.1797986505
98	0.1789126317
99	0.1777635509
100	0.1768596594
101	0.1759390506
102	0.1749065436
103	0.1738368884
104	0.1728825599
105	0.1720547888
106	0.1711904991
107	0.1704067247
108	0.1695847238
109	0.1689334032
110	0.1680856325
111	0.1673750084
112	0.166759462
113	0.1659440489
114	0.1652530736
115	0.1646850728
116	0.1639721659
117	0.1631913068
118	0.1624478544
119	0.1615198394
120	0.1608148867
121	0.1600920902
122	0.1593811107
123	0.158718622
124	0.1582047229
125	0.1574331738
126	0.1566533593
127	0.1559266155
128	0.1554018922
129	0.1547539424
130	0.1541656569
131	0.1535665905
132	0.1527243904
